sentence,sentiment
hot stock brokerages expect sharp gains in larsen toubro,1
supply of government bonds chokes growth of corporate bonds rbi deputy governor,2
megaas2000 aapl mcdonalds had a big growing success for years with the same bigmac and apple update and improbe iphone and ipad,1
we hope to clarify our policies to finnish businesses where there are any gray areas motlanthe said,0
renuka sugars board gives in principal nod for rights issue to raise rs 725 4 crore,1
ultratech cements profit declines 6 to rs 591 crore,2
m a buzz drawing interest to the pharma sector deven choksey,1
s korea won slips after 3 day gain shares flat,2
operating profit totalled eur 9 0 mn down from eur 9 7 mn in the first half of 2008,2
suzlon recovery on track costs competition may hurt company,2
l t trims its order book raises concern about its peers,2
gsk pharma open offer begins today stock hits 52 week high,1
sales for the department store division increased by 15 and sales for the clothing store subsidiary seppala increased by 8 meanwhile sales for hobby hall decreased by 12,1
the fair value of investment properties totalled eur 2 299 9 mn compared to eur 2 229 5 mn in the corresponding period in 2009,1
dhanuka agritech q4 net up 26 pc at rs 22 46 crore,1
state owned banks may have to shell out more on perpetual bonds,0
just dial rallies on launch of new search app,1
one of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard company said in a statement received by lesprom network,0
ceat q3 net profit surges three fold to rs 67 crore,1
metal stocks sink as china pmi data raises demand concerns,2
idfc s q3 profit rises 10 at rs 500 crore,1
festive seasonal buying pushes up sugar futures by 1 59,1
analysts surveyed by thomson financial expected revenue of 69 million for the quarter,0
rallis india shares tumble over 9 on weak q2 results,2
stole my tweet really wouldn t be surprised if we took out 423 and pinned around it rt totalguru we could possibly even see425 today aapl,1
shriram transport finance to borrow up to rs 3 000 cr via ncds,0
the last quarter was the best quarter of 2009 in net sales and the operating margin rose to 12 2,1
aapl long 630 91,1
fiis trim stake in fmcg companies during jan mar quarter,0
foreign investors scramble to buy indian bonds,0
indigo flies to mcap of rs 31 655 crore after listing at 12 per cent gain,1
january 15 2014 mecklai financial report on rupee,0
dollar climbs on yen boj passes baton to ecb,1
national spot exchange ltd settles rs 330 crore of rs 5 500 crore dues in 33 weeks,0
peroni and grolsch put up for sale as ab inbev plans acquisition of sabmiller,1
triveni engineering posts net loss of rs 29 74 crore in october december quarter,0
diluted earnings per share eps stood at eur 0 25 versus eur 0 42,2
sri lankan rupee forwards steady as central bank prevents fall,0
those uncertainties cloud the long term outlook,2
gold dips but malaysian plane downing seen aiding sentiment,0
multi top on mcd chart finally leads to a fall in price stability is questioned in the stock but coming weeks will tell,2
micromax goes public plans to raise 426 crore,0
liberty shoes logs 20 pc rise in june quarter net,1
sebi approves norms for research analysts,0
tsla bad day to short,1
fx traders to be interviewed as part of boe probe sources,0
infrastructure stocks will look up post elections harendra kumar,1
rupee seen lower on opening against dollar strength,2
hanung toys and textiles net q4 down 2 9 pc at rs 32 crore,2
companieskingfisher bid for mr bricolage runs into trouble,2
colgate approves third interim dividend for current fiscal,0
the platform is based built on intel s second generation mid platform called moorestown,0
marico q2 up 12 to rs 118 cr,1
recommend to stay in markets at this point of time tirthankar patnaik,0
tesla model x recall adds to reliability issues tsla,2
camlin is an outperformer deepak mohoni,1
syntel appoints nitin rakesh as ceo and president,0
rcom rallies 20 in april more deals will lead to re rating say brokerages,1
eps grew to 0 04 eur from 0 02 eur,1
j k bank nets rs 932 crore in nine months,0
blue chips lead from front on board rejigs,1
at the end of march 2007 the group s order book was at eur 39 6 mn up 42 from the corresponding period in 2006,1
the bank vtb24 provides mortgage loans to buy apartments in the complex at 11 13 per annum in rubles,0
mcp rolling over for a new intraday low bottom pickers continue to get destroyed,2
astrazeneca profit down as sales of stalwarts fade,2
debt heavy companies make the most of rate surprises stocks surge,1
mustardseed futures soften on profit booking,2
the incident happened at 2 30 p m on avenue 192 at road 196,0
crisil q4 net profit moves up 17 pc to over rs 45 cr,1
infibeam mulls filing draft red herring prospectus by december as it gears up for its ipo next year,0
religare enterprises raises rs 405 cr from preferential allotment,1
videocon industries net profit up 5 55 per cent at rs 18 61 crore in december quarter,1
finnish glass technology group glaston corporation omx helsinki gla1v reported on thursday 14 august an operating profit of eur6 5 m on net sales of eur201 5 m for the period january september 2008,0
sell voltas with a target of rs 149 prakash gaba,2
coca colas volume growth slows in january march quarter,2
central bank of india housing finance subsidiary eyes ipo,0
apparel maker kitex soars to all time high,1
jukka hienonen the current finnair ceo will step down at the end of january 2010,0
pgcil annual profit climbs 32 pc to rs 2 696 89 cr,1
fccbs weigh on subex as new orders raise hopes,1
eps dropped to eur0 2 from eur0 3,2
japan s recruit prices 2 billion ipo at top of range,0
sebi finalising new corporate governance code insider norms,0
sstl q4 net loss significantly narrows at rs 445 cr,2
augmentation of revenues for food security bill needs to be watched out for manish sonthalia motilal oswal securities,0
nifty to head towards 7680 if doesn t break below 7540 mitesh thacker,1
paper stocks like bilt do not make very exciting tradable bets vijay bhambwani,2
sks microfinance gains over 50 year to date can return up to 30,1
the final outcome of the rights offering is to be reported around 23 october 2009,0
government s decision on fdi positive for indian economy ajay bodke,1
china to start yuan trading on tuesday,0
mirc electronics net profit up at rs 9 71 cr in march quarter,1
wipro s chart is not looking very positive rajat bose,2
jyoti shareholders allege fraud company dismisses the charges,2
sell arvind ltd with a target of rs 135 mitesh thacker,2
mecklai financial report novermber 03 2014,0
bullya pollux654321 my 50 kors 80 calls are going to b a blessing for my daughters tuition,1
go short in metal stocks that are in green ashwani gujral,2
prestige estates projects q2 net jumps 70,1
oil prices fall stumbling emerging markets dent outlook,2
according to aktia asset management finnish analysts forecasts for 2009 are still too high,2
the german company has also signed a code share agreement with another oneworld member american airlines inc part of us based amr corp nyse amr,1
both operating profit and turnover for the nine month period increased respectively from eur2 4 m and eur43 8 m as compared to the corresponding period a year ago,1
low oil price strong rupee to reduce fiscal deficit deutsche bank,0
ind swift gets pmda approval from japan stk up,1
how to hedge yourself against ripples from asias biggest economy china,0
it appears from statistics of the technical surveillance authority that customers who switch service providers mostly transfer their numbers to elisa s network,0
nifty to trade in a range of 8350 8 550 ashwani gujral,0
nickel futures marginally up on spot demand,1
idfc slipped nearly 1 as it brings down fii limit to 48,2
rail stocks fall as sadananda gowda presents rail budget 2014,2
in accordance with our strategy we strengthened our local presence by establishing a representative office in south africa in october,1
the new structure provides better communication faster decision making and cost savings proha said,1
turmeric futures down 1 27 per cent on sluggish demand,2
update 1 lloyds to cut 945 jobs as part of 3 year restructuring plan,2
ajanta pharma shares surge 8 5 per cent on robust earnings,1
maharashtra sugar co ops in financial trouble as prices drop,2
sina even though the report is untrue and has been proven unture the damage is done no one wants to touch it now,2
ashok leyland slips nearly 3 as april sales dip,2
ccl products surges over 8 on q3 results strong outlook,1
as of july 2 2007 the market cap segments will be updated according to the average price in may 2007,0
the members of the management team will contribute to the adjustment measures with temporary salary cut of 5,1
the total value of the contract is some eur 8 million,0
paper company m real calculated that if 100 000 biscuit cartons are made using a 25gsm lighter board the co2 saved over the course of 12 months would be equal to that generated by driving 1 000 km by car,0
nse to launch trading in currency options on friday,0
whirlpool q3 profit doubles at rs 21 25 crore,1
commodities futures now part of supply chain,0
cardamom futures fall 0 40 on sluggish demand,2
symphony q3 net up 35 at rs 36 51 crore,1
usha martin zooms 20 on coal block win volumes up 23 times,1
the ministry of water in tanzania has awarded poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in bukoba and musoma situated at lake victoria in northern tanzania,1
merger hopes trigger a rally in 3 associates of sbi,1
cil ipo in line with market expectations avinash gorakshekar,0
silver moves up in futures trade on higher global trend,1
billionaire john paulson retains stake in biggest gold etp,0
technical check not the time to log out of infosys stock can hit rs 1 600 in 1 year,1
too early to buy banking stocks deepak mohoni,0
finnish investment group panostaja oyj said its net profit went up to 8 6 mln euro 11 4 mln in fiscal 2005 06 ended october 31 2006 from 2 8 mln euro 3 7 mln in the same period of fiscal 2004 05,1
hrl ready to pop,1
le lay succeeds walter g nter and will be based in finland,0
deutsche bank shares leap 8 after co ceos quit,1
deliveries of nokia 1112 nokia 2310 and nokia 2610 are expected to start in the second quarter of 2006,0
a maximum of 20 employees who work in karttakeskus and are responsible for producing geographic information services will be affected the company added,0
the sale of the healthcare trade business supports oriola kd s strategy to focus on pharmaceutical wholesale and retail businesses,1
pound in pain as cuts push uk to print cash,2
in finland sampo bank now part of the danske bank group will lay off staff from the administrative and support functions,2
under the plan which cses worked out together with public policy management institute ppmi and other partners buildings with a total area of 10 000 square meters should be built on the territory in the first phase,0
ipfs of commodity bourses not to have fmc official as trustee,0
unichem laboratories q1 profit rises 112 per cent,1
be cautious on amount of stock you buy into beml devang visaria,2
nifty s worst new year start since 1996 what experts are betting on,2
the facility consists of a seven year bullet term loan of 200 mln euro 292 4 mln and a 150 mln euro 219 3 mln five year revolving credit facility,0
calculus new management s focus on earnings bodes well for crompton greaves,1
festive season to bring traction for auto space deven choksey,1
nri company files criminal complaint against baring asia,1
hexaware shares tank 11 on disappointing results,2
dish tv q3 loss at rs 38 25 crore,0
net sales surged by 18 5 to eur167 8 m teleste said that eur20 4 m or 12 2 of the sales came from the acquisitions made in 2009,1
the margarine business has been put into good shape in the last two years making it a natural addition to bunge which is looking to leverage its position in the central and northern european markets raisio ceo matti rihko said in a statement,1
sell asian paints ltd with target price of rs 450 mitesh thacker,2
talbros auto top bet from auto componenet space p phani sekhar,1
arbitrageurs building positions in natural gas counter on mcx,0
altogether finnair has canceled over 500 flights because of the strike,2
oil near 9 month high as iraq battles for refinery,1
googl gets an upgrade price target 970,1
residents access to the block is planned to be from aleksandri street,0
sandeep batra may go back to icici prudential life insurance,0
high valuations keeping investors away from fmcg counters deven choksey,2
cost control gives orient cement the edge during slowdown,1
pil expands capacity to take advantage of growing demand,1
nifty may retest levels of 8000 mitesh thacker,0
press release 9 october 2009 ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna finland,1
suuti stake sale won t have a significant impact on the long term profile of axis bank vijai mantri,1
monnet ispat energy records 23 y o y revenue growth in june quarter input costs squeezes ebidta margins,1
balrampur chini net losses narrows to rs 63 90 crore in q2,1
philips was not available to comment on the report,0
tza is a rocket ship,1
hexaware higher order inflows step up expectations,1
world oil prices sink further on mounting us supply,2
tcs shares gain over 1 per cent post earnings,1
adp news nov 6 2008 finnish retail software developer aldata solution oyj omx ald1v said today that it swung to a net profit of eur 2 1 million usd 2 7 m for the first nine months of 2008 versus a net loss of eu,1
players can borrow against corporate bonds,1
jyothy lab q3 profit soars 63 1 per cent at rs 27 4 crore,1
ebbing global cues weak domestic demand bring down lead futures,2
nikkei falls to 1 week low abe plan gets muted reaction,2
promoters take biggest hit of rs 5 500 crore in dlf share plunge,2
according to arokarhu some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed,2
bharat forge looks rich in valuations further corrections likely sudip bandopadhyay,1
shareholding norms l t finance holdings explores various options,0
the company s consolidated operating profit amounted to eur 15 86 mn up from eur 4 14 mn year on year,1
european shares hit 13 month low on growth deflation worries,2
zylog systems q2 net loss at rs 91 63 crore,2
where are markets headed 6080 is the new magic number,0
raymond stocks end 5 down market capitalisation erodes by rs 146 crore,2
omcs brave market volatility surge to 52 week high on positive outlook,1
jindal stainless rejig shareholders creditors meet on may 16,0
earnings per share eps for the first quarter 2007 amounted to eur0 07 up from eur0 04,1
mentha oil futures up 0 55 per cent on strong demand,1
martela said plans to expand its recycled furniture business elsewhere in finland too,1
ptc india fin plunges on disappointing q4 results ends 19 down,2
hong kong shares close down on china global jitters,2
parabolic drugs ipo fully subscribed,1
railway expansion plans bound to benefit titagarh other big players deepak shenoy,1
lower subsidy burden to boost omcs growth,1
wall street takes opposite paths,0
sebi may seek relief for commodity exchange warehouses,0
smh got a sell signal on 6 4 and needs to take out 39 28 to go higher otherwise headed lower than 37 60 gap below at 35 38,2
the stock price rose 70 0 ores or 0 9 to close at sek77 65 ending a two day streak of losses,1
operating profit totaled eur 3 8 mn down from eur 4 5 mn in the corresponding period in 2005,2
future retail shares tank 5 6 on bourses,2
russia micex falls below 1 400 points lowest since mid may,2
cox kings q3 net grows over ten fold at rs 31 crore,1
more than a third of the original participants dropped out due to nausea and other side effects,2
infra stocks a good buy from a long term perspective sudip bandyopadhyay,1
prabhat dairy to list shares tomorrow,0
cash flow from business operations totalled eur 0 4 mn compared to a negative eur 15 5 mn in the first half of 2008,1
recommend looking at telecom stocks from long term view anand tandon,1
cummins india new facilities in sezs debt free books to add more value,1
dcm shriram inds posts rs 6 8 cr net profit for march quarter,0
falling trade deficit better rain prospects boost markets,1
the company s previous estimate was for a lower revenue than the year ago eur 93 9 million,2
3 promoters sell 54 lakh db corp shares for rs 159 57 crore,2
bosch ltd posts q2 net profit of rs 305 crore,0
enter hpcl on dips vinith jain siddh capital,1
nestle india shares down almost 2 after earnings disappoint,2
european shares hit 4 1 2 month low on concerns over iraq,2
airlines surge over 6 on new draft civil aviation policy,1
infosys leads cnx it rally ahead of q1fy15 results,1
tsla recalls 2 700 model x vehicles shares volatile tsla tech stockmarket,2
volatile astrazeneca pharma rallies nearly 9 on de listing plans,1
finnish bank of land landsbanken has issued a profit warning,2
britain s ftse falls election jitters dampen sentiment,2
cost cuts reworked deals boost siemens margins,1
wfm bought a little yesterday hoping for an earnings pop,1
also the city s insurance company if p c insurance has said it will not pay compensation,2
gmdc standalone net profit falls to rs 82 crore in december quarter,2
manufacturing stuns markets with best show,1
eriikka s derstr m has previously held several positions in finance and control at nokia networks including acting as the business group controller and having the corporate controller position at nokia siemens networks,0
hong kong shares fall again financials down,2
here come the shorts marchin in gmcr lovin it,2
care reports flat net in q3,0
india likely to issue new 10 year bond in june sources,0
you will hear the latest insights and updates on citycon s strategy as well as the latest news from all the business units,0
finnish sports equipment company amer sports said it has decided to lay off 370 workers from its salomon division in france,2
infosys marginally in red as bpo unit sacks cfo abraham mathews,2
rumour of split with starbucks holding down tata global beverages ambareesh baliga,2
have notified that as a result of the company issuing 14 432 000 new shares in the directed offering the joint holdings of pequot has decreased below 1 10 to 9 63 of total number of shares and votes in the company,2
tsla recalls 2 700 model x cars stock dropping hard,2
thermax posts q4 net profit at rs 126 50 cr,0
amtek auto fallout are rating agencies slow to raise alarm on possible defaults,2
gold climbs above 1 320 oz ahead of us federal minutes,1
australia shares close 0 3 lower at two week lows retailers lift,2
they re in a race with google to get lots of users onto their service as social networking creates new business models said martin garner a london based analyst with ccs insight,0
nsel scam unfolds the forces that caused jignesh shah s abrupt arrest,2
talvivaara is listed on the london stock exchange main market and nasdaq omx helsinki and is included in the ftse 250 index,0
component suppliers to india mars mission in focus,0
power grid out of psu etf finmin files offer document,2
delayed monsoon low acreage may push cotton prices further up warns fitch,1
iot infrastructure energy services raises rs 3000 crore from domestic investors,0
it grew in finland norway denmark and the baltic countries,0
local cos eye aim listing to gain from india craze,1
qe fears resurface markets crash heres what experts are betting on,2
guargum futures fall on weak overseas cues,2
cashew prices rise on fresh buying,1
volatile markets end higher sensex closes higher by 185 points,1
mt educare ipo subscribed 65 pc on day 1,1
pratibha industries q1 net up 22 at rs 23crore,1
godfrey phillips india q4 net down 35 94 pc,2
indian oil profit drops 35 per cent as refining margins shrink,2
rubin says he expects capman to announce 1 2 additional transactions in 2009,0
nordea pankki suomi oyj according to previously announced has made forward contracts on alma media corporation shares,0
indigo s rs 3 018 crore ipo three times oversubscribed,1
global stocks lackluster after tech tumble,2
ennore port launches rs 500 crore tax free bond sale,0
escorts rallies over 30 in six sessions more upside seen,1
short interest increases yet again via ryandetrick spy,2
oil gas stocks up 2 per cent on bse,1
uninor ceo yogesh malik quits sigve brekke made interim ceo,0
the combined value of the planned investments is about eur 30mn,0
pulses prices end steady in tight movements,0
icici securities launches e voting facility for shareholders,0
olvi which controls a 94 percent stake in ragutis through a le coq said in its annual report published earlier this year that the lithuanian brewery s sales reached 15 04 million euros last year a rise of 20 4 percent from 12 49 million euros in 2004,1
lyka labs to raise up to rs 100 crore via securities,1
fiis put 1 3 bn in indian equities in april,0
levels of 1000 possible for bata india ashwani gujral,0
biohit said that it will reduce the number of leased personnel by 10 and lay off 10 of its own personnel,2
broad based rally begins nifty may retest 8 350 8 400 ashwani gujral,0
amfi forms panel to decide stance on shareholder votes,0
guarseed futures hit daily upper limit,1
as danish bond market dries up investors look for more liquid assets,2
crude palm oil futures up on spot demand,1
finnish forest industry group stora enso oyj issued on thursday 20 march a profit warning for the first quarter 2008,2
glenmark q3 net up 16 45 to rs 109 55 cr,1
sensex slips nearly 200 points as us fed sticks to tapering,2
nifty to stay stock specific mitesh thacker,0
psbs a good bet from a 2 3 year perspective angel broking,1
growth more promising in midsize it companies deven choksey,1
puravankara projects q4 net jumps 71 per cent,1
oil s 45 rebound could be testing nerves of markets and policymakers,1
infosys implied volatilty hits 5 year high as buyers queue up to puchase options ahead of results,1
spot demand lifts lead prices by 0 69 at futures trade,1
european stocks fall back as ukraine tension grows,2
nifty likely to test 7 500 7 600 levels mehraboon irani,0
gold purchases to resume with mid aug festival demand,0
bhp billiton share price brazil to sue samarco for 3 5bn,2
dollar supported by ecb talk japan election speculation,0
department store sales improved by 14 to eur 1 070 6 mn,1
fiis pour in over rs 1 000 crore in equities,1
there will be return flights from stuttgart every morning as well as evening departures on thursdays fridays and sundays,0
the company operates through four principal divisions consumer packaging office papers speciality papers as well as market pulp and energy,0
rubber prices slump to 2009 lows,2
bond funds worldwide attract 204 billon inflows beat stocks bofa,0
oil prices mixed in asian trade,0
the inventor was issued u s patent no,0
no financial detail were available,0
revenues at the same time grew 14 percent to 43 million euros,1
oil prices at a 13 month low slips to 102 per barrel,2
greater yuan volatility a boon for china,2
icra q2 net rose 16 to rs 15 57 crore,1
capacity addition to help apl apollo,1
barley futures spurt on fresh buying,1
indiabulls fin services q3 net drops 5 98 per cent to rs 63 99 cr,2
europe shares dip on report of stress test failures,2
get ready to test 8 650 8 700 on nifty sandeep wagle,0
housing lender indiabulls plans up to 600 million share offering,0
indraprastha gas gains 2 as govt defers gas price hike,1
refined soya oil futures fall 0 87 per cent on weak demand,2
mr ashley deputy executive chairman of sports direct sold a 43pc stake in the company for more than pounds 900m at the time of the float,0
sell reliance power ltd with a stop loss of rs 69 sandeep wagle,2
gillette india s sale offer subscribed 14 stock surges,1
operating loss totaled eur 25mn compared to a profit of eur 63mn in the corresponding period in 2005,2
sunteck realty building a solid foundation,0
uninor q4 operating loss widens to rs 276 crore posts annual gain,2
cyclical stocks come full circle ride high on earnings upgrades,1
rolta india going through downtrend ashwani gujral,2
prestige estates projects ipo what experts say,0
emerging market assets get respite as dollar pulls back,1
we were the lowest bidders and now the final approval is awaited,1
exporters worry as rupee breaks free further strengthening could spook exporters,2
amrutanjan healthcare q4 net up 89 pc to rs 5 59 cr,1
hong kong stocks flat at lunch wall street leads offsetted,0
at 58 apollo tyres becomes a buy ashwani gujral,1
broking firms revive expansion plans,0
strategic and operational business information is objectively reported,0
the total number of filling stations has been on the decrease recently,2
pimco slashes holdings in flagship fund by 15 braces for fed rate hike,2
aspocomp group headquartered in helsinki finland develops interconnection solutions for the electronics industry,0
interim budget impact markets get a boost ratings cut worry ebbs,1
avoid getting into justdial even as the stock continues to fall ashwani gujral,2
epfo wants funds to lower fee for investing in equity via etfs,0
sanghvi movers a turnaround story ifb inds to see festive boost kunj bansal,1
kesoram promoters infuse rs 200 cr to raise stake to 49,1
it stocks also crack experts say markets may slip 15 from here,2
sci soars 8 pc in early trade on bse,1
india bond yields fall on arun jaitley comments,2
operating loss of the pulp paper machinery unit was over eur 3mn in september 2007 august 2008 compared to a profit of eur 3 7 mn a year earlier,2
rad i would consider this opportunity to add my position because the company is on the right track they are still improving sales,1
in the baltic countries sales fell by 40 2 and in russia by 23 2 in terms of euros and by 10 7 in terms of local currency,2
networkplays ceo ampreet singh quits,0
canara bank q4 profit down 16 at rs 611 crore,2
beaten down brokers revive business as stock markets rally on new government optimism,1
tata power rs 2 000 crore rights issue to open on march 31,0
current market rally led by large caps ashwani gujral,1
decent upside left for idfc prakash diwan,1
astrazeneca pharma plunges 9 as board defers delisting offer,2
glaxosmithkline pharmaceuticals q1 net dips 43 to rs 96 5 crore,2
kemira headquartered in helsinki finland is an international chemicals group comprising the business areas kemira pulp paper kemira water kemira specialty and kemira coatings,0
finnish metal components supplier componenta on december 26 2006 applied for approval with the turkish capital markets board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer doktas dokumculuk,0
bhel plunges over 4 as q2 results disappoints,2
all power stocks are looking weak rajat bose,2
bullish on cairn india could head towards as high as 355 360 mitesh thacker,1
market taking cues from global factors and quarterly results sudip bandyopadhyay,0
australia shares end flat ahead of bank results,0
sistema shyam teleservices ltd reports a narrowed loss of rs 400 4 crore for the first quarter,1
gold rises above 1 200 shrugs off rising equities,1
there is great opportunity and great future for power grid sudip bandyopadhyay,1
revenue for the quarter totaled 27 4 billion down 2 percent from 28 1 billion in the fourth quarter in 2008,2
up based sugar firms gain on sp win in state polls,1
wayne greensmith fiskars brands uk senior brand manager said we have launched this as we want to give something back to the community,0
basf india new plant boosts valuation,1
commex intra day turnover slips as commodity transaction tax comes into force,2
uti mutual fund appoints suraj kaeley as group president sales marketing,0
earnings per share eps amounted to a loss of eur0 05,2
tax free bonds are back be an early bird to gain advantage,1
dewan housing finance q4 net up 40 pc at rs 59 cr,1
last year finnair recorded a 32 6 percent growth on the asian sector carrying more than 1 10 million passengers between the two continents,1
at first solteq s services to companies operating in the st petersburg area will include maintenance and material management systems and data collection solutions,0
dollar steadies in asian markets despite weak gdp data,0
pretax profit totaled eur 4 9 mn compared to eur 5 2 mn in the first quarter of 2005,2
delta corp will have sustainability only after 65 levels vijay bhambwani,0
homebuilders ryl breaking below support watch this one spy,2
hcc rallies 5 on completion of first tunnel for kishanganga project,1
google shares tumbles 2 3 per cent as profit dips,2
info edge a great investment story says prakash diwan,1
michael mayer appointed director of volkswagen passenger cars in india,0
jeera futures fall 0 66 on low spot demand,2
iron ore steadies at highest level on decline in raw material stocks,0
overseas funds plug into power gear makers,0
industry today needs simple de jargonized products tapan singhel bajaj allianz general insurance,0
the total need for staff cuts corresponds to about 300 man years,2
union bank q4 net drops 23 on higher provisioning,2
markets can correct between 8300 8400 range ashwani gujral,0
nifty might consolidate between 8950 8980 levels mitesh thacker,0
late rains in rajasthan improves pulses acreage,1
headquartered in this city the company is nearly 75 years old and focuses on science based innovation and technology for environmental measurement,0
com and we are constantly planning new ways to serve our customers online on a more comprehensive basis says matti leminen president of anttila oy,1
sector watch cement outlook improves prices rise in north,1
the fair value of the company s investment properties went down to eur2 769 bn at the end of september 2009 from eur2 878 bn a year earlier,2
ttk prestige q1 net down 17 per cent to rs 22 crore,2
finnish construction group lemminkainen oyj hel lem1s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg russia,1
lead futures down 0 48 per cent on sluggish spot demand global cues,2
10 takeaways from the second quarter results of infosys,0
rupee slightly weaker fund flows watched for cues,2
manoj vaish new ceo of mcx bourse to trim stake by january 18,0
extremely positive on ril stock may see rerating mayuresh joshi,1
rashtriya ispat nigam ltd posts 25 growth in fy14 turnover,1
finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported on thursday 7 august an operating profit of eur5 3 m for the period january june 2008 up from eur3 3 m in the corresponding period in 2007,1
nifty to hit 8 450 by expiry of june f o series mitesh thacker,0
tcs strong q3 results fail to cheer street stock down over 4,2
gold demand falls in q2 as jewellery bar sales slide wgc,2
operating loss totalled eur 5 2 mn compared to a loss of eur 3 4 mn in the corresponding period in 2008 2009,2
astrazeneca wins fda approval for key new lung cancer pill,1
previously the company had guided for ebit and sales growth of 20 pct and 10 pct respectively for this year,1
dgh to question ril on falling kg output stock falls,2
our customers now have the chance to make bookings for all the services they want at one location said mikko tuomainen in charge of finnair s internet sales,1
mtnl raises rs 3 768 97 crore through bonds this fiscal government,1
green shoots of economic recovery visible nifty seen at 8 000 levels,1
exl beats profit estimates cuts sales outlook,1
australia shares slip on rising bond yields down 1 2 for week,2
nalco reports record turnover in 2012 13,1
gtat will re enter short on bounce,2
this beauty is an updated version of her chichi loop shade launched in 2001,0
wonderla holidays debuts on nse at rs 160 apiece 28 higher than its issue price,1
fears of regulatory checks drag sks micro down,2
nestle q3 net up 9 22 at rs 311 29 crore,1
trying to find where weakness is coming from in financial space jitendra mehta edelweiss,0
small stocks give better returns to investors so far this year,1
energy development company seeks shareholders nod to issue shares worth rs 44 crore,0
eur 152 4 mn of this was net interest income,0
yes bank q4 net up 33 pc at rs 362 15 cr declares 60 pc dividend,1
medium term prospects of it sector encouraging nitin raheja,1
sales in finland decreased by 2 0 and international sales decreased by 9 3 in terms of euros and by 15 1 in terms of local currencies,2
sensex retreats from all time high ends 190 points lower,2
the buildings with about 40 condominiums each will be built in 4 or 5 stages,0
ozone pharma planning for ipo in the near future,0
dollar wilts in wake of downbeat us gdp revision,2
adobe receives new rating from top analyst adbe,1
oberoi realty q4 net up 30 pc at rs 136 66 cr,1
sector wide consolidation and improving fundamentals will boost shoppers stop s valuation,1
abhay kumar singh is new ceo of sbi cards,0
chana futures soften 0 31 on weak demand,2
investors cheer portuguese bank rescue,1
amzn new hod with conviction keeping 570 on watch for resistance,1
uti appoints leo puri as managing director after more than 2 year search,0
brent steady under 109 set for second weekly loss,2
eros international holds high potential but need some clarity deven choksey,0
the announcement pushed freenet shares down 6 3 or eur0 71 in frankfurt trade to eur10 65 as investors gave up hope united internet ag and drillisch would pursue their own takeover and breakup of freenet,2
the reductions will be implemented immediately beginning in october 2009,0
kirloskar brothers posts rs 19 7 crore profit in december quarter,1
jspl surges as delhi hc stops auction of two coal blocks,1
irfc may raise rs 6 300 crore via rupee denominate bonds abroad,0
narendra kothari takes over as new chairman and managing director of nmdc,0
report otc trades in corporate bonds within 15 minutes sebi,0
puravankara s real estate scheme not a cis sebi,2
abb relying on short term orders to lower risk,0
rane holdings q3 net up 13 74 per cent at rs 11 42 crore,1
delhaize le lion has selected the aldata g o l d vocal pda solution on the motorola wt4090 pda terminal,0
buoyed by infosys results brokerages raise target price,1
corrections in market will be shorter than rallies ashwani gujral,0
in return the new york based private equity firm will receive a 51 stake in the latvian it and telecom group,0
d street fears a volatility spike on uncertainty over fed heavy fpi selling and weak rupee,2
seafood exports up on better demand,1
the extraordinary general meeting is expected to take place no later than 18 february 2011,0
sebi to tweak employee stock option norms,0
consider tata motors from an investment perspective deven choksey,1
improving macros add to bullish sentiment,1
patni computers zooms 8 pc on stake sale buzz,1
an error in updating shareholding pattern costs tata group firm rs 2 28 lakh,2
nickel futures down 0 27 per cent on overseas cues low demand,2
raghuram rajan wins in sydney but indian markets don t care,0
iifcl fy11 net rises by 61 pc to rs 262 28 cr,1
duncans surges after 50 stake sale,1
therefore the company s 2005 result will remain weaker than that of 2004,2
divya gupta appointed ceo of dentsu media,0
investors remain skeptical about shell bg deal,2
taro contributed one third of sun pharma s consolidated net sales,0
the passenger tunnel is expected to be put into operation in 2009,0
morgan stanley india head steps down,0
axp looking for continuation with volume increase,1
markets ahead is it lull before the storm on dalal street,0
oil prices mixed ahead of us stockpiles report,0
operating profit excluding restructuring costs grew to eur 44 5 million from eur 31 7 million while operating profit including restructuring costs showed even larger growth to eur 38 5 million from eur 7 4 million,1
isolationism another sell rating sell ratings on spy qqq iwm and several companies aapl apple axp bac,2
prime broking to move supreme court against nse arm,0
it does not make sense to go in for buying in the current environment hemang jani sharekhan,0
oil dives to new depths rush to safety aids yen,2
nsel investors forum to appeal against high court order,0
britain ftse resumes slide hit by emerging market exposure,2
for the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the trade register,0
scopi chief business excellence officer eng,0
fed decision unlikely to calm markets fund managers,0
bhp billiton drags ftse lower after slashing dividend,2
gsfc rallies 40 in two days more steam left say brokers,1
profit after taxes totaled eur 12 1 mn,0
bajaj auto net zooms three fold to rs 475 crore,1
